Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
55-64,female,"Arizon.ai 03 - Unboxing B Redmi Note 15 Pro 5G",not_delivering,ad,2285,4639,2.03019694,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",53,10.71,0.20207547,2026-01-15,2026-01-29,4.78551412,2.30868722,0.08568,125,,0.0061235,1.14248761,222,0.04824324,2025-12-01,2026-01-31
18-24,female,"iPhones carusel campaña de Interacción",not_delivering,ad,18558,30484,1.6426339,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1957,10.63,0.00543178,2025-12-27,2026-01-06,2.69649652,0.34870752,0.05507772,193,,0.00543178,6.41976119,822,0.01293187,2025-12-01,2026-01-31
35-44,female,"Carrusel Tecno - campaña de Interacción",not_delivering,ad,26134,46852,1.79276039,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1383,10.57,0.00764281,2026-01-04,2026-01-11,2.25390592,0.22560403,0.03262346,324,,0.00764281,2.95184837,1056,0.01000947,2025-12-01,2026-01-31
45-54,female,"Redmi Note 15 Pro",not_delivering,ad,2335,4342,1.85952891,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",39,10.43,0.2674359,2026-01-24,2026-01-31,6.70198065,2.40211884,0.08344,125,,0.00617525,0.89820359,291,0.03584192,2025-12-01,2026-01-31
35-44,male,"Arizon.ai 06 - A Guarenas",not_delivering,ad,3317,6889,2.0768767,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",18,10.37,0.57611111,2026-01-16,2026-01-23,3.07736972,1.5052983,0.20333333,51,,0.00512605,0.26128611,212,0.04891509,2025-12-01,2026-01-31
35-44,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,9895,15204,1.5365336,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1566,10.36,0.00661558,2025-12-05,2025-12-11,5.86687714,0.68139963,0.01140969,908,,0.0108255,10.29992107,892,0.01161435,2025-12-01,2026-01-31
25-34,male,"Redmi Note 15 Pro",not_delivering,ad,4776,8390,1.75670017,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",28,10.28,0.36714286,2026-01-24,2026-01-31,3.7067938,1.22526818,0.10078431,102,,0.00499757,0.33373063,311,0.03305466,2025-12-01,2026-01-31
18-24,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,37776,63351,1.67701715,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",3200,10.23,0.00319688,2026-01-04,2026-01-10,3.03862607,0.16148127,0.00520876,1964,,0.00466059,5.05122255,1925,0.00531429,2025-12-01,2026-01-31
18-24,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,10661,17396,1.63174186,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1577,10.12,0.00641725,2025-12-05,2025-12-11,4.98390435,0.58174293,0.01120709,903,,0.01068638,9.06530237,867,0.01167243,2025-12-01,2026-01-31
35-44,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,9016,13681,1.51741349,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1333,9.9,0.00742686,2025-12-19,2025-12-25,5.08003801,0.72363131,0.01384615,715,,0.01306069,9.74343981,695,0.0142446,2025-12-01,2026-01-31
